"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"179","Chris Owusu (FA)","1","3","24","24.0","24","1","0","0","0","0","0","5","2.9","0.6","0.0%"
"180","Anthony Armstrong (FA)","3","9","12","4.0","9","0","0","0","0","0","0","6","2.7","0.5","0.0%"
"181","Mardy Gilyard (FA)","2","6","15","7.5","11","0","0","0","0","0","0","8","2.5","0.3","0.0%"
"182","Andre Holmes (FA)","2","2","11","5.5","7","0","0","0","0","0","0","7","2.1","0.3","0.0%"
"183","Sammie Stroughter (FA)","1","2","14","14.0","14","0","0","0","0","0","0","2","1.9","1.0","0.0%"
"184","Jordan White (FA)","1","3","13","13.0","13","0","0","0","0","0","0","3","1.8","0.6","0.0%"
"185","Courtney Roby (FA)","1","2","9","9.0","9","0","0","0","0","0","0","13","1.4","0.1","0.0%"
"186","Laron Byrd (FA)","1","2","8","8.0","8","0","0","0","0","0","0","4","1.3","0.3","0.0%"
"187","Dane Sanzenbacher (FA)","1","3","7","7.0","7","0","0","0","0","0","0","5","1.2","0.2","0.0%"
"188","Austin Collie (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"189","Marcus Thigpen (FA)","1","2","15","15.0","15","0","0","1","8","0","1","16","0.8","0.1","0.0%"
"190","Trindon Holliday (FA)","2","2","17","8.5","15","0","0","0","0","0","1","15","0.7","0.0","0.0%"
"191","Preston Parker (FA)","0","2","0","0","0","0","0","1","7","0","0","2","0.7","0.4","0.0%"
"192","David Gilreath (FA)","0","2","0","0","0","0","0","1","7","0","0","3","0.7","0.2","0.0%"
"193","Nathan Palmer (FA)","1","4","-4","-4.0","0","0","0","0","0","0","0","5","0.1","0.0","0.0%"
"194","Martel Moore (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"195","Ryan Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"196","James Wright (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"197","Roscoe Parrish (FA)","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"198","Quan Cosby (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"199","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"200","David Gettis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"201","Richard Goodman (FA)","0","2","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"202","Marcus Easley (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"203","Patrick Turner (FA)","0","5","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"204","Deon Butler (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"205","Kassim Osgood (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"206","Greg Salas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Jerrell Jackson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"208","Darius Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"209","DeAndre Presley (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"210","LaQuan Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"211","Marvin McNutt (FA)","0","2","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"212","Kamar Aiken (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"213","Mike Brown (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"214","Kevin Cone (FA)","0","1","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"215","Joe Anderson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"216","Josh Bellamy (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"217","David Douglas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Junior Hemingway (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","A.J. Jenkins (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"220","Jeremy Ross (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"221","Jaxon Shipley (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"222","Ted Ginn Jr. (FA)","2","2","1","0.5","1","0","0","1","7","0","1","13","-0.2","0.0","0.0%"
"223","Joe Adams (FA)","1","1","7","7.0","7","0","0","3","13","0","3","9","-3.5","-0.4","0.0%"
""
""
