"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"168","Michael Ford (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"169","Cordarrelle Patterson (ATL)","12","158","13.2","50","3","3","45","77","469","10.4","4","0","16","0.0","0.0","14.8%"
"170","Cory Harkey (FA)","0","0","0","0","0","0","13","18","113","8.7","2","0","15","0.0","0.0","0.2%"
"171","Mario Harvey (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"172","Marcus Thigpen (FA)","6","18","3.0","9","0","0","8","11","97","12.1","1","0","16","0.0","0.0","0.0%"
"173","Will Tukuafu (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"174","Kahlil Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Bruce Miller (FA)","7","13","1.9","4","0","0","25","36","243","9.7","0","0","14","0.0","0.0","0.0%"
"176","Delone Carter (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"177","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","34.0%"
"178","Quinn Johnson (FA)","0","0","0","0","0","0","0","1","0","0","0","0","4","0.0","0.0","0.0%"
"179","Montell Owens (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"180","Spencer Larsen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"181","Tyler Clutts (FA)","0","0","0","0","0","0","1","2","4","4.0","0","1","8","-1.1","-0.1","0.0%"
"182","Darius Reynaud (FA)","1","0","0.0","0","0","0","1","2","4","4.0","0","1","9","-1.1","-0.1","0.0%"
""
""
